index,AvalancheProblems_0_AvalProbabilityId,AvalancheProblems_0_Class_AvalDistributionId,AvalancheProblems_0_AvalTriggerSimpleId,AvalancheProblems_0_AvalancheProblemId,AvalancheProblems_0_Class_AvalancheProblemTypeId,AvalancheProblems_0_AvalancheTypeId,AvalancheProblems_0_DestructiveSizeExtId,AvalancheProblems_1_Class_AvalDistributionId,AvalancheProblems_1_Class_AvalancheProblemTypeId,ValidFrom,Wind_Speed_Num,Wind_Direction_Num,Temperature_masl
429,3,2,21,1,6,10,3,2,7,2018-02-04T00:00:00,5,1,1400
86,3,2,10,1,6,10,2,2,7,2018-02-25T00:00:00,4,1,1800
494,3,2,21,1,6,10,2,2,7,2018-04-10T00:00:00,4,3,1400
71,3,2,10,1,7,10,3,2,6,2018-02-10T00:00:00,5,5,1800
464,5,2,21,1,6,10,2,0,0,2018-03-11T00:00:00,6,3,1400
46,3,2,21,1,6,10,3,2,7,2018-01-16T00:00:00,7,4,1800
308,3,3,22,1,6,10,2,2,7,2018-04-06T00:00:00,6,8,1400
278,3,2,21,1,6,10,2,2,7,2018-03-07T00:00:00,4,3,1400
290,3,2,10,1,6,10,2,2,7,2018-03-19T00:00:00,6,8,1400
167,3,1,21,1,2,20,1,0,0,2018-05-17T00:00:00,4,2,1800
474,3,1,21,1,6,10,2,2,7,2018-03-21T00:00:00,6,7,1400
98,3,2,21,1,7,10,2,2,7,2018-03-09T00:00:00,4,7,1800
396,3,2,21,1,5,10,2,0,0,2018-01-02T00:00:00,5,8,1400
297,3,2,10,1,6,10,2,2,7,2018-03-26T00:00:00,4,3,1400
377,3,2,21,1,6,10,1,0,0,2017-12-14T00:00:00,5,3,1400
20,3,2,21,1,6,10,2,2,7,2017-12-21T00:00:00,7,7,1800
339,3,1,22,1,2,20,2,0,0,2018-05-07T00:00:00,6,6,1400
320,3,1,22,1,2,20,2,2,7,2018-04-18T00:00:00,5,7,1400
411,3,2,21,1,6,10,3,2,7,2018-01-17T00:00:00,2,8,1400
444,3,2,10,1,6,10,2,3,7,2018-02-19T00:00:00,4,2,1400
180,3,1,21,1,2,20,1,0,0,2018-05-30T00:00:00,4,3,1800
323,3,2,22,1,2,20,2,1,7,2018-04-21T00:00:00,7,7,1400
329,3,2,10,1,6,10,2,2,4,2018-04-27T00:00:00,4,7,1400
375,3,2,21,1,6,10,2,0,0,2017-12-12T00:00:00,4,8,1400
385,2,1,10,1,7,10,2,0,0,2017-12-22T00:00:00,8,8,1400
361,3,1,21,1,2,20,1,0,0,2018-05-29T00:00:00,4,4,1400
439,3,3,21,1,5,10,2,3,7,2018-02-14T00:00:00,6,5,1400
49,3,2,21,1,7,10,3,2,7,2018-01-19T00:00:00,4,6,1800
301,3,1,21,1,6,10,2,2,7,2018-03-30T00:00:00,4,3,1400
327,3,2,21,2,4,10,2,2,5,2018-04-25T00:00:00,5,7,1400
383,2,2,10,1,7,10,2,0,0,2017-12-20T00:00:00,5,7,1400
544,3,1,21,1,2,20,1,0,0,2018-05-30T00:00:00,5,3,1400
